id,collection,dspace.entity.type,dc.title[en],dc.title[fr],nrcan.area.source
+,123456789s/18,Area,Port-Royal National Historic Site of Canada,Lieu historique national du Canada de Port-Royal,geo names db
+,123456789s/18,Area,Marconi National Historic Site of Canada,Lieu historique national du Canada Marconi,geo names db
+,123456789s/18,Area,Kejimkujik National Historic Site of Canada,Lieu historique national du Canada Kejimkujik,geo names db
+,123456789s/18,Area,Halifax Citadel National Historic Site of Canada,Lieu historique national du Canada de la Citadelle-d'Halifax,geo names db
+,123456789s/18,Area,Grand-Pré National Historic Site of Canada,Lieu historique national du Canada de Grand-Pré,geo names db
+,123456789s/18,Area,Georges Island National Historic Site of Canada,Lieu historique national du Canada de l'île-Georges,geo names db
+,123456789s/18,Area,Fortress of Louisbourg National Historic Site of Canada,Lieu historique national du Canada de la Forteresse-de-Louisbourg,geo names db
+,123456789s/18,Area,Fort McNab National Historic Site of Canada,Lieu historique national du Canada du Fort-McNab,geo names db
+,123456789s/18,Area,Canadian Forces Station Leitrim,Station des Forces canadiennes Leitrim,geo names db
+,123456789s/18,Area,Fort Edward National Historic Site of Canada,Lieu historique national du Canada du Fort-Edward,geo names db
+,123456789s/18,Area,Fort Anne National Historic Site of Canada,Lieu historique national du Canada du Fort-Anne,geo names db
+,123456789s/18,Area,Alexander Graham Bell National Historic Site of Canada,Lieu historique national du Canada Alexander-Graham-Bell,geo names db
+,123456789s/18,Area,Kejimkujik National Park of Canada,Parc national du Canada Kejimkujik,geo names db
+,123456789s/18,Area,Cape Breton Highlands National Park of Canada,Parc national du Canada des Hautes-Terres-du-Cap-Breton,geo names db
+,123456789s/18,Area,Old Town Lunenburg,Vieux-Lunenburg,geo names db
+,123456789s/18,Area,Atlantic Ocean Air Weapons Range,Champ de tir aérien Océan Atlantique,geo names db
+,123456789s/18,Area,Sydney Range,Champ de tir Sydney,geo names db
+,123456789s/18,Area,Fort Gaspareaux National Historic Site of Canada,Lieu historique national du Canada du Fort-Gaspareaux,geo names db
+,123456789s/18,Area,Connaught Range,Champ de tir Connaught,geo names db
+,123456789s/18,Area,Osborne Head Range,Champ de tir Osborne Head,geo names db
+,123456789s/18,Area,Amherst Range,Champ de tir Amherst,geo names db
+,123456789s/18,Area,Chezzetcook Air Weapons Range,Champ de tir arien Chezzetcook,geo names db
+,123456789s/18,Area,Bedford Range,Champ de tir Bedford,geo names db
+,123456789s/18,Area,Granville Ferry Range and Training Area,Champ de tir et champ de manoeuvre Granville Ferry,geo names db
+,123456789s/18,Area,Sable Island,Île de Sable,geo names db
+,123456789s/18,Area,Nova Scotia,Nouvelle-cosse,geo names db
+,123456789s/18,Area,Bay of Fundy,Baie de Fundy,geo names db
+,123456789s/18,Area,Cape Breton Island,Île du Cap-Breton,geo names db
+,123456789s/18,Area,Aldershot Range and Training Area,Champ de tir et champ de manoeuvre Aldershot,geo names db
+,123456789s/18,Area,Maybank Island,Île Maybank,geo names db
+,123456789s/18,Area,Battlefield of Fort George National Historic Site of Canada,Lieu historique national du Canada du Champ-de-Bataille-du-Fort-George,geo names db
+,123456789s/18,Area,Debert Range,Champ de tir Debert,geo names db
+,123456789s/18,Area,17 Wing Winnipeg,17e Escadre Winnipeg,geo names db
+,123456789s/18,Area,Lévis Forts National Historic Site of Canada,Lieu historique national du Canada des Forts-de-Lévis,geo names db
+,123456789s/18,Area,Canadian Forces Base Halifax,Base des Forces canadiennes Halifax,geo names db
+,123456789s/18,Area,Fort Beauséjour - Fort Cumberland National Historic Site of Canada,Lieu historique national du Canada du Fort Beauséjour - Fort Cumberland,geo names db
+,123456789s/18,Area,Torngat Mountains National Park of Canada,Parc national du Canada des Monts-Torngat,geo names db
+,123456789s/18,Area,Geraldton Training Area,Champ de manoeuvre Geraldton,geo names db
+,123456789s/18,Area,Nicolet Range,Champ de tir Nicolet,geo names db
+,123456789s/18,Area,Wolfe's Landing National Historic Site of Canada,Lieu historique national du Canada du Débarquement-de-Wolfe,geo names db
+,123456789s/18,Area,Carrying Place of the Bay of Quinte National Historic Site of Canada,Lieu historique national du Canada du Portage-de-la-Baie-de-Quinte,geo names db
+,123456789s/18,Area,Royal Battery National Historic Site of Canada,Lieu historique national du Canada de la Batterie-Royale,geo names db
+,123456789s/18,Area,Former Territorial Court House National Historic Site of Canada,Lieu historique national du Canada de l'Ancien-Palais-de-Justice-Territorial,geo names db
+,123456789s/18,Area,L.M. Montgomery's Cavendish National Historic Site of Canada,Lieu historique national du Canada du Cavendish-de-L.-M.-Montgomery,geo names db
+,123456789s/18,Area,Kingston Fortifications National Historic Site of Canada,Lieu historique national du Canada des Fortifications-de-Kingston,geo names db
+,123456789s/18,Area,Gaillot Lake,Lac Gaillot,geo names db
+,123456789s/18,Area,Canadian Forces Base Greenwood,Base des Forces canadiennes Greenwood,geo names db
+,123456789s/18,Area,Fort Ste. Thérèse National Historic Site of Canada,Lieu historique national du Canada Fort-Ste-Thérèse,geo names db
+,123456789s/18,Area,Fort Lawrence National Historic Site of Canada,Lieu historique national du Canada du Fort-Lawrence,geo names db
+,123456789s/18,Area,Québec Garrison Club National Historic Site of Canada,Lieu historique national du Canada du Cercle-de-la-Garnison-de-Québec,geo names db
+,123456789s/18,Area,Seymour Island Bird Sanctuary,Refuge d'oiseaux de l'île Seymour,geo names db
+,123456789s/18,Area,Queen Maud Gulf Bird Sanctuary,Refuge d'oiseaux du Golfe Reine-Maud,geo names db
+,123456789s/18,Area,Prince Leopold Island Bird Sanctuary,Refuge d'oiseaux de l'île Prince-Léopold,geo names db
+,123456789s/18,Area,McConnell River Bird Sanctuary,Refuge d'oiseaux de la rivière McConnell,geo names db
+,123456789s/18,Area,Harry Gibbons Bird Sanctuary,Refuge d'oiseaux de Harry Gibbons,geo names db
+,123456789s/18,Area,Carleton Martello Tower National Historic Site of Canada,Lieu historique national du Canada de la Tour-Martello-de-Carleton,geo names db
+,123456789s/18,Area,East Bay Bird Sanctuary,Refuge d'oiseaux de la baie Est,geo names db
+,123456789s/18,Area,Dewey Soper Bird Sanctuary,Refuge d'oiseaux de Dewey Soper,geo names db
+,123456789s/18,Area,Bylot Island Bird Sanctuary,Refuge d'oiseaux de l'île Bylot,geo names db
+,123456789s/18,Area,Akimiski Island Bird Sanctuary,Refuge d'oiseaux de l'île Akimiski,geo names db
+,123456789s/18,Area,Polar Bear Pass National Wildlife Area,Réserve nationale de faune du Col-Polar-Bear,geo names db
+,123456789s/18,Area,Kendall Island Bird Sanctuary,Refuge d'oiseaux de l'île-Kendall,geo names db
+,123456789s/18,Area,Cape Parry Bird Sanctuary,Refuge d'oiseaux du Cap-Parry,geo names db
+,123456789s/18,Area,Banks Island No. 2 Bird Sanctuary,Refuge d'oiseaux No. 2 de l'le Banks,geo names db
+,123456789s/18,Area,Banks Island No. 1 Bird Sanctuary,Refuge d'oiseaux No. 1 de l'le Banks,geo names db
+,123456789s/18,Area,Anderson River Delta Bird Sanctuary,Refuge d'oiseaux du Delta de la rivière Anderson,geo names db
+,123456789s/18,Area,George C. Reifel Bird Sanctuary,Refuge d'oiseaux de George C. Reifel,geo names db
+,123456789s/18,Area,Victoria Harbour Bird Sanctuary,Refuge d'oiseaux du havre de Victoria,geo names db
+,123456789s/18,Area,Vaseux Lake Bird Sanctuary,Refuge d'oiseaux du lac Vaseux,geo names db
+,123456789s/18,Area,Shoal Harbour Bird Sanctuary,Refuge d'oiseaux de Shoal-Harbour,geo names db
+,123456789s/18,Area,Nechako River Bird Sanctuary,Refuge d'oiseaux de la rivière Nechako,geo names db
+,123456789s/18,Area,Esquimalt Lagoon Bird Sanctuary,Refuge d'oiseaux d'Esquimalt-Lagoon,geo names db
+,123456789s/18,Area,Christie Islet Bird Sanctuary,Refuge d'oiseaux de l'lot Christie,geo names db
+,123456789s/18,Area,Widgeon Valley National Wildlife Area,Réserve nationale de faune de la Vallée-Widgeon,geo names db
+,123456789s/18,Area,Vaseux-Bighorn National Wildlife Area,Réserve nationale de faune de Vaseux-Bighorn,geo names db
+,123456789s/18,Area,Qualicum National Wildlife Area,Réserve nationale de faune de Qualicum,geo names db
+,123456789s/18,Area,Columbia National Wildlife Area,Réserve nationale de faune de Columbia,geo names db
+,123456789s/18,Area,Alaksen National Wildlife Area,Réserve nationale de faune d'Alaksen,geo names db
+,123456789s/18,Area,Saskatoon Lake Bird Sanctuary,Refuge d'oiseaux du Lac-Saskatoon,geo names db
+,123456789s/18,Area,Richardson Lake Bird Sanctuary,Refuge d'oiseaux du Lac-Richardson,geo names db
+,123456789s/18,Area,Red Deer Bird Sanctuary,Refuge d'oiseaux de Red Deer,geo names db
+,123456789s/18,Area,Inglewood Bird Sanctuary,Refuge d'oiseaux d'Inglewood,geo names db
+,123456789s/18,Area,Spiers Lake National Wildlife Area,Réserve nationale de faune du Lac Spiers,geo names db
+,123456789s/18,Area,Meanook National Wildlife Area,Réserve nationale de faune de Meanook,geo names db
