id,collection,dspace.entity.type,nrcan.division.code,dc.title[en],dc.title[fr],nrcan.division.sector[en],nrcan.division.sector[fr]
+,123456789s/19,Division,dpd,Data Processing Division,Division de traitement des données,Canada Centre for Remote Sensing ,Centre canadien de télédétection
+,123456789s/19,Division,cfspfc,Pacific Forestry Centre,Centre de foresterie du Pacifique,Canadian Forest Service,Service canadien des forêts
+,123456789s/19,Division,cfsafc,Atlantic Forestry Centre,Centre de foresterie de l'Atlantique,Canadian Forest Service,Service canadien des forêts
+,123456789s/19,Division,cfs,Canadian Forest Service,Service canadien des forêts,Canadian Forest Service,Service canadien des forêts
+,123456789s/19,Division,cfslfc,Laurentian Forestry Centre,Centre de foresterie des Laurentides,Canadian Forest Service,Service canadien des forêts
+,123456789s/19,Division,cfsnfc,Northern Forestry Centre,Centre de foresterie du Nord,Canadian Forest Service,Service canadien des forêts
+,123456789s/19,Division,cfsglfc,Great Lakes Researh Centre,Centre de foresterie des Grands Lacs,Canadian Forest Service,Service canadien des forêts
+,123456789s/19,Division,NRCan Library,NRCan Library,Bibliothèque de RNCan,Corporate Management and Services Sector ,Secteur de la gestion et des services intégrés
+,123456789s/19,Division,dsld,Digital Services and Libraries Division,Direction des services numériques et des bibliothèques,Corporate Management and Services Sector ,Secteur de la gestion et des services intégrés
+,123456789s/19,Division,cpd,Coordination and Planning Division,,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,mcg,Minerals and Continental Geoscience Branch,,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,cgd,Continental Geoscience Division,Division de la géologie du continent,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,mrd,Mineral Resources Division,,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,tsd,Terrain Sciences Division,,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,gsmg,"Geophysics, Sedimentary and Marine Geoscience Branch",,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,gid,Geoscience Information Division,Division d'information géoscientifique,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,cso,Chief Scientists Office,,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,pcsp,Polar Continental Shelf Project,Programme du plateau continental polaire,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,pgc,Pacific Geoscience Centre,,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,chis,Canadian Hazards Information Service,Service d'information sur les dangers naturels au Canada,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,gscpv,GSC Pacific (Vancouver),CGC Pacifique (Vancouver),Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,gscps,GSC Pacific (Sidney),CGC Pacifique (Sidney),Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,cngo,Canada-Nunavut Geoscience Office,Bureau géoscientifique Canada-Nunavut,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,gicd,Geoscience Information and Communications Division,Division d'information géoscientifique et communications,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,ppcd,"Policy, Planning and Coordination Division",,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,ibc,International Boundary Commission,Commission de la Frontière internationale,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,gsd,Geodetic Survey Division,Division des levés géodésiques,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,dad,Data Acquisition Division,Division de l'acquisition des données,Earth Sciences Sector ,Secteur des sciences de la Terre
+,123456789s/19,Division,eog,Earth Observation and GeoSolutions Divison,Division de l'observation de la Terre et des géosolutions,Earth Sciences Sector ,Secteur des sciences de la Terre
