id,collection,dspace.entity.type,dc.title[en],dc.title[fr]
+,123456789s/20,Publisher,Canada Department of Mines,Canada Ministère des mines
+,123456789s/20,Publisher,Canada Department of Mines and Resources,Canada Ministère des mines et des ressources
+,123456789s/20,Publisher,Canada Department of Mines and Technical Surveys,Canada Ministère des mines et des relevés techniques
+,123456789s/20,Publisher,"Department of Energy, Mines and Resources Canada","Ministère de l'énergie, des mines et des ressources Canada"
+,123456789s/20,Publisher,Natural Resources Canada,Ressources naturelles Canada
+,123456789s/20,Publisher,Geological Survey of Canada,Commission géologique du Canada
+,123456789s/20,Publisher,Geomatics Canada,Géomatiques Canada
+,123456789s/20,Publisher,National Air Photo Library,Photothèque nationale de l'air
+,123456789s/20,Publisher,Centre for Topographic Information,Centre d'information topographique
+,123456789s/20,Publisher,International Boundary Commission,Commission de la frontière internationale
+,123456789s/20,Publisher,Canada Surveys and Mapping Branch,Canada Direction des levés et de la cartographie
+,123456789s/20,Publisher,"Canada Surveys, Mapping and Remote Sensing Branch","Canada Direction des levés, de la cartographie et de la télédétection"
+,123456789s/20,Publisher,Canada Department of the Interior,Canada Ministère de l'Intérieur
+,123456789s/20,Publisher,Canada Centre for Mapping,Centre canadien de cartographie
+,123456789s/20,Publisher,Canadian Forest Service,Service canadien des forêts
+,123456789s/20,Publisher,Canadian Hydrographic Service,Service hydrographique du Canada
+,123456789s/20,Publisher,Canada Map Office,Bureau des cartes du Canada
+,123456789s/20,Publisher,Canada Surveys and Mapping Bureau,Bureau canadien des levés et de la cartographie
+,123456789s/20,Publisher,Earth Physics Branch,Direction de la physique du globe
+,123456789s/20,Publisher,GeoConnections,GéoConnexions
+,123456789s/20,Publisher,Geodetic Survey Division,Division des levés géodésiques
+,123456789s/20,Publisher,National Energy Board,Office national de l'énergie
+,123456789s/20,Publisher,Office of Energy Efficiency,L'Office de l'efficacité énergétique
+,123456789s/20,Publisher,Polar Continental Shelf Program,Programme du plateau continental polaire
+,123456789s/20,Publisher,Topographical Survey,Levés topographiques
+,123456789s/20,Publisher,International Waterways Commission,Commission des voies d'eau internationales
+,123456789s/20,Publisher,Dominion Observatory,L'observatoire du Dominion
+,123456789s/20,Publisher,Canadian Geoscience Council,Le Conseil Canadien des sciences
+,123456789s/20,Publisher,Geological Survey Branch,Direction de la commission géologique
+,123456789s/20,Publisher,Minerals and Metals Sector,Secteur des minéraux et des métaux
+,123456789s/20,Publisher,Canada Bureau of Mines,Bureau canadien des mines
+,123456789s/20,Publisher,Canadian Geotechnical Society,La Société canadienne de géotechnique
+,123456789s/20,Publisher,National Museum of Canada,Musée national du Canada
+,123456789s/20,Publisher,Geological and Natural History Survey of Canada,Commission de géologie et d'histoire naturelle du Canada
+,123456789s/20,Publisher,Canada Centre for Remote Sensing,Centre canadien de télédétection
+,123456789s/20,Publisher,Canada-Nunavut Geoscience Office,Bureau géoscientifique Canada-Nunavut
+,123456789s/20,Publisher,Canadian Quaternary Association,Association canadienne pour l'étude du Quaternaire
+,123456789s/20,Publisher,Geological Association of Canada,Association géologique du Canada
+,123456789s/20,Publisher,Mineralogical Association of Canada,Association minéralogique du Canada
+,123456789s/20,Publisher,Government of Canada,Gouvernement du Canada
+,123456789s/20,Publisher,Canada Mines Branch,Canada Division des mines
+,123456789s/20,Publisher,"Energy, Mines and Resources Canada","Énergie, Mines et Ressources Canada"
+,123456789s/20,Publisher,"Canada Department of Energy, Mines and Resources","Canada Ministère de l'Énergie, Mines et Ressources"
+,123456789s/20,Publisher,Canada Centre for Mapping and Earth Observation,Centre canadien de cartographie et d'observation de la Terre
+,123456789s/20,Publisher,Lands and Minerals Sector,Secteur des terres et des minéraux
+,123456789s/20,Publisher,Geographical Names Board of Canada,Commission de toponymie du Canada
+,123456789s/20,Publisher,Atlas of Canada,L'Atlas du Canada
+,123456789s/20,Publisher,Canada Centre for Mineral and Energy Technology,Centre canadien de la technologie des minéraux et de l'énergie
+,123456789s/20,Publisher,Natural Resources and Energy New Brunswick,Ressources naturelles et Énergie Nouveau-Brunswick
+,123456789s/20,Publisher,"Forests, Mines and Energy New Brunswick","Forêts, Mines et Énergie Nouveau-Brunswick"
+,123456789s/20,Publisher,Energy Research Laboratories,Laboratoires de recherche sur l'énergie
+,123456789s/20,Publisher,Public Safety Canada,Sécurité publique Canada
+,123456789s/20,Publisher,National Museums of Canada,Musées nationaux du Canada
+,123456789s/20,Publisher,Canada Surveyor General Branch,Canada Direction de l'arpenteur général
+,123456789s/20,Publisher,Makivik Corporation,Société Makivik
+,123456789s/20,Publisher,Fraser Basin Council,Conseil du bassin versant du Fleuve Fraser
+,123456789s/20,Publisher,Nova Scotia Geomatics Centre,Centre de géomatique de la Nouvelle-Écosse
+,123456789s/20,Publisher,Service Nova Scotia and Municipal Relations,Services Nouvelle-Écosse et relations avec les municipalités
+,123456789s/20,Publisher,"Yukon Energy, Mines and Resources","Yukon Énergie, Mines et Ressources"
+,123456789s/20,Publisher,Indian and Northern Affairs Canada,Affaires indiennes et du Nord Canada
+,123456789s/20,Publisher,Atomic Energy of Canada Limited,Énergie atomique du Canada limitée
+,123456789s/20,Publisher,National GEOSCAN Centre,Centre national pour GEOSCAN
