id,collection,dspace.entity.type,nrcan.serial.code,dc.title[en],dc.title[fr],nrcan.serial.issn,nrcan.serial.issne,nrcan.serial.notes,nrcan.serial.urlname,nrcan.serial.url
+,123456789s/22,Serial,cmosbull,CMOS Bulletin,Bulletin SCMO,1195-8898,,Canadian Meteorological and Oceanography Scoiety - La Société canadienne de météorologie et d'océanographie,CMOS Bulletin ,a http://www.cmos.ca/pubs.html#CMOS%20Bulletin
+,123456789s/22,Serial,canchemn,Canadian Chemical News,L'actualité chimique canadienne,0823-5228,,"1984-2017, continued by CIC News",Canadian Chemical News (2013-2017) ,a https://www.cheminst.ca/news/news-archives/
+,123456789s/22,Serial,smbimw,International Map of the World 1:1 000 000,Carte internationale du monde au 1:1 000 000,,,,International Map of the World 1:1 000 000 - Canada ,a http://atlas.nrcan.gc.ca/auth/english/maps/archives/imw
+,123456789s/22,Serial,sgbbr,"Canada Surveyor General Branch, Biennial Review","Canada Direction de l'arpenteur général, Revue bisannuelle",1927-3355,1927-3363,Begins with 2014-2016 volume (replaces SGB Annual Review) French online ISSN=1927-3371 (English and French have same print ISSN). They kept the same ISSNs but changed the series name.,English SGB publications web site ,a http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands-surveys/publications/11088
+,123456789s/22,Serial,sgbar,"Canada Surveyor General Branch, Annual Review","Canada Direction de l'arpenteur général, Revue annuelle",1927-3355,1927-3363,Last volume in series is 2013-2014 (replaced by SGB Biennial Review) French online ISSN=1927-3371 (English and French have same print ISSN),English SGB publications web site ,a http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands-surveys/publications/11088
+,123456789s/22,Serial,geotnont,GeoTours Northern Ontario,GéoTours du Nord de l'Ontario,,,OGS-NRCan co-production,GeoTours Northern Ontario ,a https://www.ontario.ca/page/northern-ontario-geotours
+,123456789s/22,Serial,cihmmic,"Canadian Institute for Historical Microreproductions, Microfiche Series","Institut canadien de microreproductions historiques, Collection de microfiches",,,,"Canadian Institute for Historical Microreproductions, Microfiche Series ",a http://www.canadiana.org/eco.php?doc=microfiche
+,123456789s/22,Serial,iclrrps,"Institute for Catastrophic Loss Reduction, Research Paper Series","Institut de prévention des sinistres catastrophique, Serie de documents de recherche",,,,"Institute for Catastrophic Loss Reduction, Research Paper Series ",a http://www.iclr.org/research/publications.htm
+,123456789s/22,Serial,esjcug,Earth Science - Journal of China University of Geosciences,Earth Science - Journal of China University of Geosciences,,1095-9203,,Earth Science - Journal of China University of Geosciences ,a https://caod.oriprobe.com/journals/dqkx/Earth_Science_Journal_of_China_University_of_Geosciences.htm
+,123456789s/22,Serial,bioinrv,"Bedford Institute of Oceanography, In Review",l´Institut océanographique de Bedford retrospective,1499-9951,,begins 2002-. Previously it was B.I.O. Annual Review (exception is 2005 which reverted for one year to Annual Review),"Bedford Institute of Oceanography, Annual Review ",a https://www.dfo-mpo.gc.ca/science/Publications/index-eng.htm#bio
+,123456789s/22,Serial,bioannrv,"Bedford Institute of Oceanography, Annual Review","l´Institut océanographique de Bedford , Revue annuelle",1499-9951,,"begins 2000. Previously it was B.I.O. Science Review. As of 2000, joint publication by Department of Fisheries and Oceans, Maritimes Region, and Natural Resources Canada, Geological Survey of Canada (Atlantic).","Bedford Institute of Oceanography, Annual Review ",a https://www.dfo-mpo.gc.ca/science/publications/reports-rapports-eng.html
